GB	Caste
GB40834	NA
GB40836	NA
GB40837	NDEG
GB40838	NA
GB40839	NA
GB40841	NA
GB40842	W
GB40843	NA
GB40845	NA
GB40848	NA
GB40849	NA
GB40850	NA
GB40853	NA
GB40854	NA
GB40855	NA
GB40856	NA
GB40857	NA
GB40858	NA
GB40859	NA
GB40860	NA
GB40861	NDEG
GB40862	NA
GB40864	NA
GB40865	NDEG
GB40866	NDEG
GB40867	NA
GB40868	NDEG
GB40869	NA
GB40870	NA
GB40871	NA
GB40872	NA
GB40873	NA
GB40874	NA
GB40875	NDEG
GB40876	NA
GB40877	NA
GB40878	NA
GB40879	NA
GB40880	NA
GB40881	NA
GB40882	NA
GB40883	NA
GB40884	NA
GB40885	NA
GB40886	NA
GB40887	NDEG
GB40888	NDEG
GB40890	NA
GB40891	NA
GB40893	NA
GB40894	NA
GB40895	NA
GB40896	NA
GB40901	NA
GB40903	NA
GB40904	NA
GB40905	NA
GB40906	NA
GB40907	NDEG
GB40908	NA
GB40909	NA
GB40911	NA
GB40914	NA
GB40915	NA
GB40916	NA
GB40917	NA
GB40918	NA
GB40919	NA
GB40920	NA
GB40921	NA
GB40922	NA
GB40923	NA
GB40926	NA
GB40928	NA
GB40929	NA
GB40930	NA
GB40931	NA
GB40932	NA
GB40933	NA
GB40934	NDEG
GB40935	NA
GB40937	NA
GB40938	NA
GB40939	NA
GB40941	NA
GB40942	NA
GB40944	NDEG
GB40945	Q
GB40946	NDEG
GB40948	NA
GB40949	NA
GB40950	NA
GB40952	NA
GB40953	NA
GB40955	NDEG
GB40958	NA
GB40959	NA
GB40960	NA
GB40961	NA
GB40963	NA
GB40964	NA
GB40966	NA
GB40967	NA
GB40968	NA
GB40969	NA
GB40970	NA
GB40972	NA
GB40973	NA
GB40975	NA
GB40976	NDEG
GB40977	NDEG
GB40978	NDEG
GB40979	NA
GB40980	NA
GB40983	NA
GB40984	NA
GB40986	NA
GB40993	NA
GB40994	NA
GB40996	NA
GB40997	W
GB40998	NA
GB40999	NA
GB41000	NA
GB41001	NA
GB41002	NA
GB41003	NA
GB41005	NA
GB41010	NA
GB41018	NA
GB41024	NA
GB41025	NDEG
GB41026	NA
GB41027	NDEG
GB41028	NDEG
GB41029	NA
GB41030	NDEG
GB41031	NA
GB41032	NA
GB41033	NA
GB41034	NA
GB41035	NA
GB41036	NA
GB41037	NA
GB41038	NDEG
GB41039	NDEG
GB41041	NA
GB41042	NA
GB41043	NA
GB41045	NA
GB41046	NA
GB41047	NA
GB41048	NA
GB41049	NA
GB41050	NA
GB41051	NA
GB41052	NA
GB41053	NA
GB41056	NA
GB41059	NA
GB41060	NA
GB41063	NA
GB41064	NA
GB41065	NA
GB41066	NA
GB41067	NA
GB41068	NA
GB41069	NDEG
GB41070	NA
GB41073	NA
GB41074	NA
GB41075	NA
GB41076	NA
GB41078	NA
GB41079	NA
GB41080	NDEG
GB41082	NA
GB41083	NA
GB41084	NA
GB41085	NA
GB41093	NA
GB41094	NA
GB41095	NA
GB41096	NA
GB41097	NA
GB41115	NA
GB41117	NA
GB41118	NA
GB41119	NA
GB41121	NA
GB41122	NA
GB41123	NA
GB41126	NDEG
GB41127	NA
GB41128	NA
GB41129	NDEG
GB41130	NA
GB41131	NDEG
GB41132	NA
GB41133	NA
GB41134	NA
GB41135	NA
GB41136	NA
GB41137	NA
GB41138	NA
GB41139	NDEG
GB41140	NA
GB41141	NA
GB41142	NA
GB41143	NDEG
GB41145	NA
GB41146	NA
GB41147	NDEG
GB41148	NA
GB41149	NA
GB41150	NDEG
GB41151	NDEG
GB41152	NA
GB41153	NA
GB41154	NDEG
GB41156	NDEG
GB41157	NA
GB41158	NA
GB41159	NA
GB41160	NA
GB41161	NA
GB41162	NA
GB41163	NA
GB41164	NA
GB41165	NA
GB41167	NA
GB41168	NA
GB41169	NA
GB41170	NA
GB41171	NA
GB41172	NA
GB41173	NA
GB41174	NA
GB41175	NA
GB41176	NA
GB41177	NA
GB41178	NA
GB41179	NA
GB41180	NA
GB41181	NA
GB41182	NA
GB41183	NA
GB41184	NA
GB41188	NDEG
GB41189	NA
GB41191	NA
GB41192	NA
GB41193	NA
GB41195	NA
GB41196	NA
GB41197	NA
GB41198	NA
GB41199	NA
GB41201	NA
GB41202	NA
GB41203	NDEG
GB41204	NA
GB41205	NA
GB41206	NA
GB41207	NDEG
GB41208	NA
GB41209	NA
GB41210	NA
GB41211	NDEG
GB41212	NDEG
GB41213	NA
GB41214	NA
GB41215	NDEG
GB41217	NA
GB41220	NA
GB41222	NA
GB41223	NA
GB41224	NA
GB41225	NDEG
GB41226	NA
GB41227	NA
GB41228	NA
GB41230	NA
GB41231	NA
GB41232	NA
GB41233	NA
GB41234	NA
GB41235	NA
GB41236	NA
GB41237	NA
GB41238	NA
GB41239	NDEG
GB41240	NDEG
GB41241	NA
GB41242	NDEG
GB41243	NA
GB41244	NA
GB41246	NA
GB41248	NA
GB41249	NA
GB41250	NA
GB41252	NA
GB41254	NA
GB41255	NA
GB41257	NA
GB41258	NA
GB41259	NA
GB41260	NA
GB41261	NA
GB41262	NA
GB41263	NA
GB41264	NA
GB41265	NA
GB41266	NA
GB41267	NA
GB41268	NA
GB41269	NA
GB41270	NA
GB41280	NA
GB41281	NA
GB41282	NA
GB41283	NA
GB41284	NA
GB41285	NA
GB41287	NA
GB41288	NA
GB41289	NA
GB41290	NA
GB41291	NA
GB41292	NA
GB41293	NA
GB41294	NA
GB41295	NA
GB41296	NA
GB41297	NA
GB41300	NA
GB41301	NDEG
GB41302	NDEG
GB41304	NDEG
GB41305	NA
GB41310	NA
GB41311	NA
GB41312	NA
GB41313	NA
GB41314	NA
GB41315	NA
GB41316	NA
GB41317	NA
GB41318	NA
GB41319	NA
GB41320	NA
GB41321	NA
GB41324	NA
GB41325	NA
GB41326	NDEG
GB41329	NA
GB41330	NA
GB41331	NA
GB41332	W
GB41333	NA
GB41334	NA
GB41335	NA
GB41336	NA
GB41337	NA
GB41338	NDEG
GB41339	NDEG
GB41340	NA
GB41341	NA
GB41342	NA
GB41343	NDEG
GB41344	NA
GB41345	NDEG
GB41346	NA
GB41347	NA
GB41352	NA
GB41353	NA
GB41354	NA
GB41356	NA
GB41358	NDEG
GB41359	NA
GB41360	NA
GB41361	NA
GB41362	NDEG
GB41363	W
GB41364	NA
GB41366	NA
GB41367	NA
GB41368	NA
GB41369	NA
GB41372	NA
GB41373	NA
GB41374	NA
GB41376	NDEG
GB41377	NA
GB41378	NA
GB41385	NA
GB41386	NDEG
GB41388	NA
GB41389	NA
GB41390	NDEG
GB41391	NA
GB41392	NDEG
GB41395	NA
GB41396	NA
GB41397	NA
GB41398	NA
GB41399	NA
GB41400	NA
GB41401	NA
GB41402	NA
GB41403	NA
GB41405	NA
GB41406	NA
GB41407	NA
GB41408	NA
GB41409	NA
GB41410	NA
GB41411	NA
GB41412	NA
GB41413	Q
GB41414	NA
GB41415	NA
GB41417	NA
GB41418	NDEG
GB41419	NA
GB41420	NA
GB41421	NA
GB41422	NA
GB41423	NA
GB41424	NA
GB41425	NA
GB41426	NA
GB41427	W
GB41428	NA
GB41430	NA
GB41431	NA
GB41432	NA
GB41433	NA
GB41434	NA
GB41435	NA
GB41436	NA
GB41437	NA
GB41439	NA
GB41442	NDEG
GB41443	NA
GB41444	NA
GB41445	NA
GB41446	NDEG
GB41447	NA
GB41448	NA
GB41449	NA
GB41450	NA
GB41451	NA
GB41452	NDEG
GB41453	NA
GB41454	NDEG
GB41455	NDEG
GB41457	NA
GB41458	NA
GB41459	NA
GB41460	NA
GB41461	NA
